year,round,driver_id,elo_before,elo_change_last_race,elo_change_last_5,elo_trend_direction
2020,16,aitken,1450.0,,,0
2019,1,albon,1450.0,,,0
2019,2,albon,1400.38,-49.61999999999989,,-1
2019,3,albon,1496.6,96.2199999999998,,1
2019,4,albon,1521.87,25.269999999999982,,1
2019,5,albon,1506.12,-15.75,,-1
2019,6,albon,1491.53,-14.589999999999918,41.52999999999997,-1
2019,7,albon,1562.88,71.35000000000014,162.5,1
2019,8,albon,1311.13,-251.75,-185.4699999999998,-1
2019,9,albon,1293.95,-17.180000000000064,-227.91999999999985,-1
2019,10,albon,1280.77,-13.180000000000064,-225.3499999999999,-1
2019,11,albon,1348.11,67.33999999999992,-143.42000000000007,1
2019,12,albon,1544.08,195.97000000000003,-18.800000000000182,1
2019,13,albon,1550.39,6.310000000000173,239.26,1
2019,14,albon,1683.56,133.16999999999985,389.6099999999999,1
2019,15,albon,1720.63,37.070000000000164,439.8600000000001,1
2019,16,albon,1746.65,26.019999999999982,398.5400000000002,1
2019,17,albon,1790.18,43.52999999999997,246.10000000000014,1
2019,18,albon,1837.09,46.909999999999854,286.6999999999998,1
2019,19,albon,1843.07,5.980000000000018,159.51,1
2019,20,albon,1849.61,6.539999999999964,128.9799999999998,1
2019,21,albon,1599.94,-249.66999999999985,-146.71000000000004,-1
2020,1,albon,1656.82,56.87999999999988,-133.36000000000013,1
2020,2,albon,1534.38,-122.43999999999983,-302.7099999999998,-1
2020,3,albon,1691.4,157.01999999999998,-151.66999999999985,1
2020,4,albon,1745.7,54.299999999999955,-103.90999999999985,1
2020,5,albon,1692.1,-53.600000000000136,92.15999999999985,-1
2020,6,albon,1745.55,53.450000000000045,88.73000000000002,1
2020,7,albon,1710.21,-35.33999999999992,175.82999999999993,-1
2020,8,albon,1741.76,31.549999999999955,50.3599999999999,1
2020,9,albon,1524.02,-217.74,-221.68000000000006,-1
2020,10,albon,1717.96,193.94000000000005,25.860000000000127,1
2020,11,albon,1640.01,-77.95000000000005,-105.53999999999996,-1
2020,12,albon,1418.83,-221.18000000000006,-291.3800000000001,-1
2020,13,albon,1442.85,24.019999999999982,-298.9100000000001,1
2020,14,albon,1369.89,-72.95999999999981,-154.12999999999988,-1
2020,15,albon,1531.65,161.76,-186.30999999999995,1
2020,16,albon,1711.25,179.5999999999999,71.24000000000001,1
2020,17,albon,1719.68,8.430000000000064,300.85000000000014,1
2022,1,albon,1736.89,17.210000000000036,294.0400000000002,1
2022,2,albon,1585.87,-151.0200000000002,215.9799999999998,-1
2022,3,albon,1495.99,-89.87999999999988,-35.66000000000008,-1
2022,4,albon,1557.43,61.440000000000055,-153.81999999999994,1
2022,5,albon,1554.95,-2.480000000000018,-164.73000000000002,-1
2022,6,albon,1608.56,53.6099999999999,-128.33000000000015,1
2022,7,albon,1396.08,-212.48000000000002,-189.78999999999996,-1
2022,8,albon,1294.06,-102.01999999999998,-201.93000000000006,-1
2022,9,albon,1396.69,102.63000000000011,-160.74,1
2022,10,albon,1425.48,28.789999999999964,-129.47000000000003,1
2022,11,albon,1266.47,-159.01,-342.0899999999999,-1
2022,12,albon,1388.98,122.50999999999999,-7.099999999999909,1
2022,13,albon,1424.2,35.22000000000003,130.1400000000001,1
2022,14,albon,1335.64,-88.55999999999995,-61.049999999999955,-1
2022,15,albon,1463.99,128.3499999999999,38.50999999999999,1
2022,17,albon,1482.86,18.86999999999989,216.38999999999987,1
2022,18,albon,1357.11,-125.75,-31.87000000000012,-1
2022,19,albon,1216.02,-141.08999999999992,-208.18000000000006,-1
2022,20,albon,1316.0,99.98000000000002,-19.6400000000001,1
2022,21,albon,1393.74,77.74000000000001,-70.25,1
2022,22,albon,1359.34,-34.40000000000009,-123.51999999999998,-1
2023,1,albon,1401.9,42.56000000000017,44.79000000000019,1
2023,2,albon,1507.94,106.03999999999996,291.9200000000001,1
2023,3,albon,1323.05,-184.8900000000001,7.0499999999999545,-1
2023,4,albon,1235.99,-87.05999999999995,-157.75,-1
2023,5,albon,1367.36,131.3699999999999,8.019999999999982,1
2023,6,albon,1380.62,13.259999999999991,-21.2800000000002,1
2023,7,albon,1380.7,0.08000000000015461,-127.24000000000001,1
2023,8,albon,1332.73,-47.97000000000003,9.680000000000064,-1
2023,9,albon,1530.88,198.1500000000001,294.8900000000001,1
2023,10,albon,1542.06,11.179999999999836,174.70000000000005,1
2023,11,albon,1620.92,78.86000000000013,240.30000000000018,1
2023,12,albon,1595.86,-25.060000000000173,215.15999999999985,-1
2023,13,albon,1495.62,-100.24000000000001,162.88999999999987,-1
2023,14,albon,1602.07,106.45000000000005,71.18999999999983,1
2023,15,albon,1676.43,74.36000000000013,134.37000000000012,1
2023,16,albon,1622.21,-54.22000000000003,1.2899999999999636,-1
2023,17,albon,1459.63,-162.57999999999993,-136.2299999999998,-1
2023,18,albon,1459.08,-0.5500000000001819,-36.539999999999964,-1
2023,19,albon,1561.47,102.3900000000001,-40.59999999999991,1
2023,20,albon,1608.03,46.559999999999945,-68.40000000000009,1
2023,21,albon,1378.17,-229.8599999999999,-244.03999999999996,-1
2023,22,albon,1456.7,78.52999999999997,-2.9300000000000637,1
2024,1,albon,1448.78,-7.920000000000073,-10.299999999999955,-1
2024,2,albon,1404.3,-44.48000000000002,-157.17000000000007,-1
2024,3,albon,1472.25,67.95000000000005,-135.77999999999997,1
2024,4,albon,1506.46,34.210000000000036,128.28999999999996,1
2024,5,albon,1291.26,-215.20000000000005,-165.44000000000005,-1
2024,6,albon,1385.88,94.62000000000012,-62.899999999999864,1
2024,7,albon,1274.69,-111.19000000000005,-129.6099999999999,-1
2024,8,albon,1153.77,-120.92000000000007,-318.48,-1
2024,9,albon,1375.59,221.81999999999994,-130.87000000000012,1
2024,10,albon,1299.97,-75.61999999999989,8.710000000000036,-1
2024,11,albon,1231.95,-68.01999999999998,-153.93000000000006,-1
2024,12,albon,1273.51,41.559999999999945,-1.1800000000000637,1
2024,13,albon,1459.08,185.56999999999994,305.30999999999995,1
2024,14,albon,1431.51,-27.569999999999936,55.92000000000007,-1
2024,15,albon,1463.52,32.00999999999999,163.54999999999995,1
2024,16,albon,1425.97,-37.549999999999955,194.01999999999998,-1
2024,17,albon,1536.03,110.05999999999995,262.52,1
2024,18,albon,1652.29,116.25999999999999,193.21000000000004,1
2024,19,albon,1357.23,-295.05999999999995,-74.27999999999997,-1
2024,20,albon,1315.3,-41.930000000000064,-148.22000000000003,-1
2024,21,albon,1215.33,-99.97000000000003,-210.6400000000001,-1
2024,22,albon,1190.63,-24.699999999999818,-345.39999999999986,-1
2024,23,albon,1144.69,-45.940000000000055,-507.5999999999999,-1
2024,24,albon,1226.9,82.21000000000004,-130.32999999999993,1
2025,1,albon,1397.12,170.2199999999998,81.81999999999994,1
2025,2,albon,1632.79,235.67000000000007,417.46000000000004,1
2025,3,albon,1711.16,78.37000000000012,520.53,1
2025,4,albon,1695.13,-16.029999999999973,550.44,-1
2025,5,albon,1615.02,-80.11000000000013,388.1199999999999,-1
2025,6,albon,1649.29,34.26999999999998,252.17000000000007,1
2025,7,albon,1762.18,112.8900000000001,129.3900000000001,1
2025,8,albon,1834.54,72.3599999999999,123.37999999999988,1
2025,9,albon,1771.7,-62.83999999999992,76.56999999999994,-1
2025,10,albon,1453.57,-318.1300000000001,-161.45000000000005,-1
2025,11,albon,1285.6,-167.97000000000003,-363.69000000000005,-1
2025,12,albon,1268.22,-17.37999999999988,-493.96000000000004,-1
2025,13,albon,1487.66,219.44000000000005,-346.8799999999999,1
2025,14,albon,1653.17,165.51,-118.52999999999997,1
