year,round,race_name,circuit_id,driver_id,driver_code,constructor_id,quali_position,q1_time,q2_time,q3_time
2016,3,Chinese Grand Prix,shanghai,massa,MAS,williams,11,1:38.016,1:37.347,
2016,3,Chinese Grand Prix,shanghai,alonso,ALO,mclaren,12,1:38.451,1:38.826,
2016,3,Chinese Grand Prix,shanghai,button,BUT,mclaren,13,1:37.593,1:39.093,
2016,3,Chinese Grand Prix,shanghai,grosjean,GRO,haas,14,1:38.425,1:39.830,
2016,3,Chinese Grand Prix,shanghai,ericsson,ERI,sauber,15,1:38.321,1:40.742,
2016,3,Chinese Grand Prix,shanghai,nasr,NAS,sauber,16,1:38.654,1:42.430,
2016,3,Chinese Grand Prix,shanghai,kevin_magnussen,MAG,renault,17,1:38.673,,
2016,3,Chinese Grand Prix,shanghai,gutierrez,GUT,haas,18,1:38.770,,
2016,3,Chinese Grand Prix,shanghai,jolyon_palmer,PAL,renault,19,1:39.528,,
2016,3,Chinese Grand Prix,shanghai,haryanto,HAR,manor,20,1:40.264,,
2016,3,Chinese Grand Prix,shanghai,wehrlein,WEH,manor,21,,,
2016,3,Chinese Grand Prix,shanghai,hamilton,HAM,mercedes,22,,,
2016,4,Russian Grand Prix,sochi,rosberg,ROS,mercedes,1,1:36.119,1:35.337,1:35.417
2016,4,Russian Grand Prix,sochi,vettel,VET,ferrari,2,1:36.555,1:36.623,1:36.123
2016,4,Russian Grand Prix,sochi,bottas,BOT,williams,3,1:37.746,1:37.140,1:36.536
2016,4,Russian Grand Prix,sochi,raikkonen,RAI,ferrari,4,1:36.976,1:36.741,1:36.663
2016,4,Russian Grand Prix,sochi,massa,MAS,williams,5,1:37.753,1:37.230,1:37.016
2016,4,Russian Grand Prix,sochi,ricciardo,RIC,red_bull,6,1:38.091,1:37.569,1:37.125
2016,4,Russian Grand Prix,sochi,perez,PER,force_india,7,1:38.006,1:37.282,1:37.212
2016,4,Russian Grand Prix,sochi,kvyat,KVY,red_bull,8,1:38.265,1:37.606,1:37.459
2016,4,Russian Grand Prix,sochi,max_verstappen,VER,toro_rosso,9,1:38.123,1:37.510,1:37.583
2016,4,Russian Grand Prix,sochi,hamilton,HAM,mercedes,10,1:36.006,1:35.820,
2016,4,Russian Grand Prix,sochi,sainz,SAI,toro_rosso,11,1:37.784,1:37.652,
2016,4,Russian Grand Prix,sochi,button,BUT,mclaren,12,1:38.332,1:37.701,
2016,4,Russian Grand Prix,sochi,hulkenberg,HUL,force_india,13,1:38.562,1:37.771,
2016,4,Russian Grand Prix,sochi,alonso,ALO,mclaren,14,1:37.971,1:37.807,
2016,4,Russian Grand Prix,sochi,grosjean,GRO,haas,15,1:38.383,1:38.055,
