sim_num,champion,max_points
290,antonelli,195.0
291,antonelli,277.0
292,antonelli,267.0
293,antonelli,279.0
294,antonelli,325.0
295,antonelli,303.0
296,antonelli,333.0
297,antonelli,183.0
298,antonelli,339.0
299,antonelli,379.0
300,antonelli,357.0
301,antonelli,361.0
302,antonelli,475.0
303,antonelli,251.0
304,antonelli,309.0
305,antonelli,309.0
306,antonelli,281.0
307,antonelli,295.0
308,antonelli,247.0
309,antonelli,255.0
310,antonelli,269.0
311,antonelli,243.0
312,antonelli,355.0
313,antonelli,333.0
314,antonelli,221.0
315,antonelli,379.0
316,antonelli,387.0
317,antonelli,255.0
318,antonelli,343.0
319,antonelli,429.0
320,antonelli,373.0
321,antonelli,239.0
322,antonelli,401.0
323,antonelli,361.0
324,antonelli,231.0
325,antonelli,379.0
326,antonelli,293.0
327,antonelli,387.0
328,antonelli,291.0
329,antonelli,253.0
330,antonelli,321.0
331,antonelli,303.0
332,antonelli,259.0
333,antonelli,335.0
334,antonelli,327.0
335,antonelli,307.0
336,antonelli,287.0
337,antonelli,351.0
338,antonelli,409.0
339,antonelli,303.0
340,antonelli,337.0
341,antonelli,383.0
342,antonelli,357.0
343,antonelli,307.0
344,antonelli,259.0
345,antonelli,225.0
346,antonelli,295.0
347,antonelli,385.0
348,antonelli,351.0
349,antonelli,291.0
350,antonelli,313.0
351,antonelli,281.0
352,antonelli,305.0
353,antonelli,257.0
354,antonelli,243.0
355,antonelli,335.0
356,antonelli,257.0
357,antonelli,391.0
358,antonelli,317.0
359,antonelli,249.0
360,antonelli,239.0
361,antonelli,277.0
362,antonelli,297.0
363,antonelli,399.0
364,antonelli,323.0
365,antonelli,223.0
366,antonelli,327.0
367,antonelli,321.0
368,antonelli,305.0
369,antonelli,383.0
370,antonelli,285.0
371,antonelli,305.0
372,antonelli,301.0
373,russell,186.0
374,antonelli,335.0
375,antonelli,269.0
376,antonelli,281.0
377,antonelli,299.0
378,antonelli,241.0
379,antonelli,255.0
380,antonelli,413.0
381,antonelli,329.0
382,antonelli,307.0
383,antonelli,413.0
384,antonelli,303.0
385,antonelli,279.0
386,antonelli,291.0
387,antonelli,359.0
388,antonelli,261.0
389,antonelli,189.0
390,antonelli,273.0
391,antonelli,359.0
392,antonelli,251.0
393,antonelli,269.0
394,antonelli,351.0
395,antonelli,281.0
396,antonelli,339.0
397,antonelli,283.0
398,antonelli,363.0
399,antonelli,263.0
400,antonelli,265.0
401,antonelli,289.0
402,antonelli,277.0
403,antonelli,315.0
404,antonelli,339.0
405,antonelli,281.0
406,antonelli,303.0
407,antonelli,349.0
408,antonelli,357.0
409,antonelli,301.0
410,antonelli,255.0
411,antonelli,339.0
412,antonelli,373.0
413,antonelli,399.0
414,antonelli,325.0
415,antonelli,323.0
416,antonelli,291.0
417,antonelli,309.0
418,antonelli,397.0
419,antonelli,255.0
420,antonelli,267.0
421,antonelli,317.0
422,antonelli,301.0
423,antonelli,361.0
424,antonelli,313.0
425,antonelli,321.0
426,antonelli,371.0
427,antonelli,343.0
428,antonelli,289.0
429,antonelli,391.0
430,antonelli,285.0
431,antonelli,247.0
432,antonelli,171.0
433,antonelli,401.0
434,antonelli,363.0
435,antonelli,281.0
436,antonelli,389.0
437,antonelli,469.0
438,antonelli,345.0
439,antonelli,359.0
440,antonelli,329.0
441,antonelli,245.0
442,antonelli,339.0
443,antonelli,365.0
444,antonelli,341.0
445,antonelli,315.0
446,antonelli,301.0
447,antonelli,309.0
448,antonelli,381.0
449,antonelli,359.0
450,antonelli,419.0
451,russell,210.0
452,antonelli,291.0
453,antonelli,281.0
454,antonelli,359.0
455,antonelli,339.0
456,antonelli,313.0
457,antonelli,319.0
458,antonelli,239.0
459,antonelli,291.0
460,antonelli,289.0
461,antonelli,369.0
462,antonelli,341.0
463,antonelli,329.0
464,antonelli,227.0
465,antonelli,361.0
466,antonelli,245.0
467,antonelli,287.0
468,antonelli,369.0
469,antonelli,331.0
470,antonelli,281.0
471,antonelli,355.0
472,antonelli,263.0
473,antonelli,407.0
474,antonelli,327.0
475,antonelli,353.0
476,antonelli,375.0
477,antonelli,309.0
478,antonelli,375.0
479,antonelli,413.0
480,antonelli,275.0
481,antonelli,353.0
482,antonelli,237.0
483,antonelli,375.0
484,antonelli,451.0
485,antonelli,309.0
486,antonelli,267.0
487,antonelli,335.0
488,antonelli,361.0
489,antonelli,205.0
490,antonelli,437.0
491,antonelli,341.0
492,antonelli,249.0
493,antonelli,241.0
494,antonelli,273.0
495,antonelli,267.0
496,antonelli,331.0
497,antonelli,243.0
498,antonelli,213.0
499,antonelli,349.0
500,antonelli,277.0
501,antonelli,241.0
502,antonelli,343.0
503,antonelli,265.0
504,antonelli,305.0
505,antonelli,225.0
506,antonelli,377.0
507,antonelli,279.0
508,antonelli,257.0
509,antonelli,337.0
510,antonelli,275.0
511,antonelli,341.0
512,antonelli,225.0
513,antonelli,243.0
514,antonelli,319.0
515,antonelli,227.0
516,antonelli,335.0
517,antonelli,309.0
518,antonelli,345.0
519,antonelli,263.0
520,antonelli,239.0
521,antonelli,253.0
522,antonelli,257.0
523,antonelli,335.0
524,antonelli,317.0
525,antonelli,317.0
526,antonelli,387.0
527,antonelli,273.0
528,antonelli,291.0
529,antonelli,215.0
530,antonelli,317.0
531,antonelli,317.0
532,antonelli,267.0
533,antonelli,421.0
534,antonelli,303.0
535,antonelli,327.0
536,antonelli,421.0
537,antonelli,339.0
538,antonelli,343.0
539,antonelli,387.0
540,antonelli,289.0
541,antonelli,203.0
542,antonelli,339.0
543,antonelli,353.0
544,antonelli,395.0
545,antonelli,313.0
546,antonelli,227.0
547,antonelli,283.0
548,antonelli,363.0
549,antonelli,415.0
550,antonelli,361.0
551,antonelli,315.0
552,antonelli,233.0
553,antonelli,395.0
554,antonelli,201.0
555,antonelli,303.0
556,antonelli,417.0
557,antonelli,387.0
558,antonelli,365.0
559,antonelli,387.0
560,antonelli,297.0
561,antonelli,321.0
562,antonelli,397.0
563,antonelli,315.0
564,antonelli,175.0
565,antonelli,333.0
566,antonelli,377.0
567,antonelli,189.0
568,antonelli,283.0
569,antonelli,319.0
570,antonelli,333.0
571,antonelli,443.0
572,antonelli,337.0
573,antonelli,287.0
574,antonelli,241.0
575,antonelli,227.0
576,antonelli,271.0
577,antonelli,421.0
578,antonelli,335.0
579,antonelli,323.0
580,antonelli,243.0
581,antonelli,383.0
582,antonelli,313.0
583,antonelli,259.0
584,antonelli,355.0
585,antonelli,283.0
586,antonelli,369.0
587,antonelli,253.0
588,antonelli,341.0
589,antonelli,381.0
590,antonelli,263.0
591,antonelli,327.0
592,antonelli,417.0
593,antonelli,361.0
594,antonelli,299.0
595,antonelli,309.0
596,antonelli,247.0
597,antonelli,281.0
598,antonelli,217.0
599,antonelli,193.0
600,antonelli,349.0
601,antonelli,353.0
602,antonelli,291.0
603,antonelli,283.0
604,antonelli,329.0
605,antonelli,321.0
606,antonelli,295.0
607,antonelli,351.0
608,antonelli,383.0
609,antonelli,243.0
610,antonelli,385.0
611,antonelli,257.0
612,antonelli,329.0
613,antonelli,355.0
614,antonelli,417.0
615,antonelli,309.0
616,antonelli,275.0
617,antonelli,327.0
618,antonelli,323.0
619,antonelli,295.0
620,antonelli,319.0
621,antonelli,319.0
622,antonelli,221.0
623,antonelli,341.0
624,antonelli,307.0
625,antonelli,245.0
626,antonelli,349.0
627,antonelli,421.0
628,antonelli,331.0
629,antonelli,317.0
630,antonelli,305.0
631,antonelli,291.0
632,antonelli,411.0
633,antonelli,199.0
634,antonelli,271.0
635,antonelli,337.0
636,antonelli,287.0
637,antonelli,305.0
638,antonelli,325.0
639,antonelli,333.0
640,antonelli,403.0
641,antonelli,299.0
642,antonelli,223.0
643,antonelli,321.0
644,antonelli,247.0
645,antonelli,405.0
646,antonelli,391.0
647,antonelli,333.0
648,antonelli,243.0
649,antonelli,329.0
650,antonelli,333.0
651,antonelli,231.0
652,antonelli,247.0
653,antonelli,277.0
654,antonelli,251.0
655,antonelli,373.0
656,antonelli,289.0
657,antonelli,227.0
658,antonelli,255.0
659,antonelli,369.0
660,antonelli,333.0
661,antonelli,341.0
662,antonelli,241.0
663,antonelli,287.0
664,antonelli,253.0
665,antonelli,249.0
666,antonelli,343.0
667,antonelli,317.0
668,antonelli,387.0
669,antonelli,335.0
670,antonelli,153.0
671,antonelli,279.0
672,antonelli,391.0
673,antonelli,357.0
674,antonelli,323.0
675,antonelli,363.0
676,antonelli,359.0
677,antonelli,411.0
678,antonelli,387.0
679,antonelli,239.0
680,antonelli,253.0
681,antonelli,315.0
682,antonelli,335.0
683,antonelli,373.0
684,antonelli,237.0
685,antonelli,319.0
686,antonelli,311.0
687,antonelli,371.0
688,antonelli,301.0
689,antonelli,323.0
690,antonelli,297.0
691,antonelli,329.0
692,antonelli,267.0
693,antonelli,323.0
694,antonelli,339.0
695,antonelli,301.0
696,antonelli,349.0
697,antonelli,303.0
698,antonelli,285.0
699,antonelli,287.0
700,antonelli,365.0
701,antonelli,339.0
702,antonelli,389.0
703,antonelli,293.0
704,antonelli,411.0
705,antonelli,329.0
706,antonelli,279.0
707,antonelli,191.0
708,antonelli,239.0
709,antonelli,307.0
710,antonelli,305.0
711,antonelli,351.0
712,antonelli,277.0
713,antonelli,259.0
714,antonelli,249.0
715,antonelli,343.0
716,antonelli,237.0
717,antonelli,285.0
718,antonelli,247.0
719,antonelli,293.0
720,antonelli,237.0
721,antonelli,283.0
722,antonelli,297.0
723,antonelli,277.0
724,antonelli,343.0
